column_position,name,role,expected_type
81,HRV_ApEn,predictor,numeric
82,HRV_SampEn,predictor,numeric
83,HRV_ShanEn,predictor,numeric
84,HRV_FuzzyEn,predictor,numeric
85,HRV_MSEn,predictor,numeric
86,HRV_CMSEn,predictor,numeric
87,HRV_RCMSEn,predictor,numeric
88,HRV_CD,predictor,numeric
89,HRV_HFD,predictor,numeric
90,HRV_KFD,predictor,numeric
91,HRV_LZC,predictor,numeric
92,scr_number_of_peaks,predictor,numeric
93,scr_mean_amplitude,predictor,numeric
94,scr_mean_rise_time,predictor,numeric
95,scr_mean_recovery_time,predictor,numeric
96,scl_mean,predictor,numeric
97,scl_std,predictor,numeric
98,scl_min,predictor,numeric
99,scl_max,predictor,numeric
100,phasic_mean,predictor,numeric
101,phasic_std,predictor,numeric
102,phasic_min,predictor,numeric
103,phasic_max,predictor,numeric
104,ppg_heart_rate_mean,predictor,numeric
105,ppg_hrv_rmssd,predictor,numeric
106,ppg_amplitude_mean,predictor,numeric
107,ppg_amplitude_std,predictor,numeric
108,ppg_peak_count,predictor,numeric
109,ppg_peak_amplitude_mean,predictor,numeric
110,ppg_peak_interval_mean,predictor,numeric
111,flexor_mean_amplitude,predictor,numeric
112,flexor_rms,predictor,numeric
113,flexor_std_deviation,predictor,numeric
114,flexor_median_amplitude,predictor,numeric
115,flexor_mad,predictor,numeric
116,flexor_waveform_length,predictor,numeric
117,flexor_zero_crossings,predictor,numeric
118,flexor_slope_sign_changes,predictor,numeric
119,flexor_total_power,predictor,numeric
120,flexor_mean_frequency,predictor,numeric
121,flexor_median_frequency,predictor,numeric
122,flexor_spectral_entropy,predictor,numeric
123,flexor_spectral_edge_frequency,predictor,numeric
124,extensor_mean_amplitude,predictor,numeric
125,extensor_rms,predictor,numeric
126,extensor_std_deviation,predictor,numeric
127,extensor_median_amplitude,predictor,numeric
128,extensor_mad,predictor,numeric
129,extensor_waveform_length,predictor,numeric
130,extensor_zero_crossings,predictor,numeric
131,extensor_slope_sign_changes,predictor,numeric
132,extensor_total_power,predictor,numeric
133,extensor_mean_frequency,predictor,numeric
134,extensor_median_frequency,predictor,numeric
135,extensor_spectral_entropy,predictor,numeric
136,extensor_spectral_edge_frequency,predictor,numeric
137,overall_gaze_entropy_LX,predictor,numeric
138,psd_max_LX,predictor,numeric
139,psd_freq_of_max_LX,predictor,numeric
140,overall_gaze_entropy_LY,predictor,numeric
141,psd_max_LY,predictor,numeric
142,psd_freq_of_max_LY,predictor,numeric
143,overall_gaze_entropy_LZ,predictor,numeric
144,psd_max_LZ,predictor,numeric
145,psd_freq_of_max_LZ,predictor,numeric
146,overall_gaze_entropy_RX,predictor,numeric
147,psd_max_RX,predictor,numeric
148,psd_freq_of_max_RX,predictor,numeric
149,overall_gaze_entropy_RY,predictor,numeric
150,psd_max_RY,predictor,numeric
151,psd_freq_of_max_RY,predictor,numeric
152,overall_gaze_entropy_RZ,predictor,numeric
153,psd_max_RZ,predictor,numeric
154,psd_freq_of_max_RZ,predictor,numeric
155,eyes_closed_fraction_L,predictor,numeric
156,eyes_closed_fraction_R,predictor,numeric
157,pupil_diam_mean_L,predictor,numeric
158,pupil_diam_stdev_L,predictor,numeric
159,pupil_diam_skew_L,predictor,numeric
160,pupil_diam_kurt_L,predictor,numeric
161,pupil_diam_mean_R,predictor,numeric
162,pupil_diam_stdev_R,predictor,numeric
163,pupil_diam_skew_R,predictor,numeric
164,pupil_diam_kurt_R,predictor,numeric
165,fix_dur_mean,predictor,numeric
166,fix_dur_stdev,predictor,numeric
167,fix_dur_skew,predictor,numeric
168,fix_dur_kurt,predictor,numeric
169,fix_density_mean,predictor,numeric
170,fix_density_stdev,predictor,numeric
171,fix_density_skew,predictor,numeric
172,fix_density_kurt,predictor,numeric
173,sac_main_seq_mean,predictor,numeric
174,sac_main_seq_stdev,predictor,numeric
175,sac_peak_vel_mean,predictor,numeric
176,sac_peak_vel_stdev,predictor,numeric
177,accelerometry_forearm_r_x_mps2_mean,predictor,numeric
178,accelerometry_forearm_r_x_mps2_median,predictor,numeric
179,accelerometry_forearm_r_x_mps2_std,predictor,numeric
180,accelerometry_forearm_r_x_mps2_max,predictor,numeric
181,accelerometry_forearm_r_x_mps2_min,predictor,numeric
182,accelerometry_forearm_r_x_mps2_range,predictor,numeric
183,accelerometry_forearm_r_x_mps2_skewness,predictor,numeric
184,accelerometry_forearm_r_x_mps2_kurtosis,predictor,numeric
185,accelerometry_forearm_r_x_mps2_rms,predictor,numeric
186,accelerometry_forearm_r_x_mps2_sma,predictor,numeric
187,accelerometry_forearm_r_x_mps2_spectral_entropy,predictor,numeric
188,accelerometry_forearm_r_x_mps2_spectral_flux,predictor,numeric
189,accelerometry_forearm_r_x_mps2_spectral_centroid,predictor,numeric
190,accelerometry_forearm_r_x_mps2_low_freq_energy,predictor,numeric
191,accelerometry_forearm_r_x_mps2_mid_freq_energy,predictor,numeric
192,accelerometry_forearm_r_x_mps2_high_freq_energy,predictor,numeric
193,accelerometry_forearm_r_x_mps2_wavelet_energy_level_1,predictor,numeric
194,accelerometry_forearm_r_x_mps2_wavelet_entropy_level_1,predictor,numeric
195,accelerometry_forearm_r_x_mps2_wavelet_energy_level_2,predictor,numeric
196,accelerometry_forearm_r_x_mps2_wavelet_entropy_level_2,predictor,numeric
197,accelerometry_forearm_r_x_mps2_wavelet_energy_level_3,predictor,numeric
198,accelerometry_forearm_r_x_mps2_wavelet_entropy_level_3,predictor,numeric
199,accelerometry_forearm_r_x_mps2_wavelet_energy_level_4,predictor,numeric
200,accelerometry_forearm_r_x_mps2_wavelet_entropy_level_4,predictor,numeric
201,accelerometry_forearm_r_x_mps2_wavelet_energy_level_5,predictor,numeric
202,accelerometry_forearm_r_x_mps2_wavelet_entropy_level_5,predictor,numeric
203,accelerometry_forearm_r_y_mps2_mean,predictor,numeric
204,accelerometry_forearm_r_y_mps2_median,predictor,numeric
205,accelerometry_forearm_r_y_mps2_std,predictor,numeric
206,accelerometry_forearm_r_y_mps2_max,predictor,numeric
207,accelerometry_forearm_r_y_mps2_min,predictor,numeric
208,accelerometry_forearm_r_y_mps2_range,predictor,numeric
209,accelerometry_forearm_r_y_mps2_skewness,predictor,numeric
210,accelerometry_forearm_r_y_mps2_kurtosis,predictor,numeric
211,accelerometry_forearm_r_y_mps2_rms,predictor,numeric
212,accelerometry_forearm_r_y_mps2_sma,predictor,numeric
213,accelerometry_forearm_r_y_mps2_spectral_entropy,predictor,numeric
214,accelerometry_forearm_r_y_mps2_spectral_flux,predictor,numeric
215,accelerometry_forearm_r_y_mps2_spectral_centroid,predictor,numeric
216,accelerometry_forearm_r_y_mps2_spectral_rolloff,predictor,numeric
217,accelerometry_forearm_r_y_mps2_low_freq_energy,predictor,numeric
218,accelerometry_forearm_r_y_mps2_mid_freq_energy,predictor,numeric
219,accelerometry_forearm_r_y_mps2_high_freq_energy,predictor,numeric
220,accelerometry_forearm_r_y_mps2_wavelet_energy_level_1,predictor,numeric
221,accelerometry_forearm_r_y_mps2_wavelet_entropy_level_1,predictor,numeric
222,accelerometry_forearm_r_y_mps2_wavelet_energy_level_2,predictor,numeric
223,accelerometry_forearm_r_y_mps2_wavelet_entropy_level_2,predictor,numeric
224,accelerometry_forearm_r_y_mps2_wavelet_energy_level_3,predictor,numeric
225,accelerometry_forearm_r_y_mps2_wavelet_entropy_level_3,predictor,numeric
226,accelerometry_forearm_r_y_mps2_wavelet_energy_level_4,predictor,numeric
227,accelerometry_forearm_r_y_mps2_wavelet_entropy_level_4,predictor,numeric
228,accelerometry_forearm_r_y_mps2_wavelet_energy_level_5,predictor,numeric
229,accelerometry_forearm_r_y_mps2_wavelet_entropy_level_5,predictor,numeric
230,accelerometry_forearm_r_z_mps2_mean,predictor,numeric
231,accelerometry_forearm_r_z_mps2_median,predictor,numeric
232,accelerometry_forearm_r_z_mps2_std,predictor,numeric
233,accelerometry_forearm_r_z_mps2_max,predictor,numeric
234,accelerometry_forearm_r_z_mps2_min,predictor,numeric
235,accelerometry_forearm_r_z_mps2_range,predictor,numeric
236,accelerometry_forearm_r_z_mps2_skewness,predictor,numeric
237,accelerometry_forearm_r_z_mps2_kurtosis,predictor,numeric
238,accelerometry_forearm_r_z_mps2_rms,predictor,numeric
239,accelerometry_forearm_r_z_mps2_sma,predictor,numeric
240,accelerometry_forearm_r_z_mps2_spectral_entropy,predictor,numeric
241,accelerometry_forearm_r_z_mps2_spectral_flux,predictor,numeric
242,accelerometry_forearm_r_z_mps2_spectral_centroid,predictor,numeric
243,accelerometry_forearm_r_z_mps2_spectral_rolloff,predictor,numeric
244,accelerometry_forearm_r_z_mps2_low_freq_energy,predictor,numeric
245,accelerometry_forearm_r_z_mps2_mid_freq_energy,predictor,numeric
246,accelerometry_forearm_r_z_mps2_high_freq_energy,predictor,numeric
247,accelerometry_forearm_r_z_mps2_wavelet_energy_level_1,predictor,numeric
248,accelerometry_forearm_r_z_mps2_wavelet_entropy_level_1,predictor,numeric
249,accelerometry_forearm_r_z_mps2_wavelet_energy_level_2,predictor,numeric
250,accelerometry_forearm_r_z_mps2_wavelet_entropy_level_2,predictor,numeric
251,accelerometry_forearm_r_z_mps2_wavelet_energy_level_3,predictor,numeric
252,accelerometry_forearm_r_z_mps2_wavelet_entropy_level_3,predictor,numeric
253,accelerometry_forearm_r_z_mps2_wavelet_energy_level_4,predictor,numeric
254,accelerometry_forearm_r_z_mps2_wavelet_entropy_level_4,predictor,numeric
255,accelerometry_forearm_r_z_mps2_wavelet_energy_level_5,predictor,numeric
256,accelerometry_forearm_r_z_mps2_wavelet_entropy_level_5,predictor,numeric
257,forearm_magnitude_mean_x,predictor,numeric
258,forearm_magnitude_std_x,predictor,numeric
259,forearm_magnitude_max_x,predictor,numeric
260,forearm_magnitude_min_x,predictor,numeric
261,forearm_magnitude_range_x,predictor,numeric
262,forearm_magnitude_skewness_x,predictor,numeric
263,forearm_magnitude_kurtosis_x,predictor,numeric
264,forearm_magnitude_rms_x,predictor,numeric
265,forearm_magnitude_sma_x,predictor,numeric
266,forearm_magnitude_spectral_entropy_x,predictor,numeric
267,forearm_magnitude_spectral_flux_x,predictor,numeric
268,forearm_magnitude_spectral_centroid_x,predictor,numeric
269,forearm_magnitude_low_freq_energy_x,predictor,numeric
270,forearm_magnitude_mid_freq_energy_x,predictor,numeric
271,forearm_magnitude_high_freq_energy_x,predictor,numeric
272,forearm_magnitude_wavelet_energy_level_1_x,predictor,numeric
273,forearm_magnitude_wavelet_entropy_level_1_x,predictor,numeric
274,forearm_magnitude_wavelet_energy_level_2_x,predictor,numeric
275,forearm_magnitude_wavelet_entropy_level_2_x,predictor,numeric
276,forearm_magnitude_wavelet_energy_level_3_x,predictor,numeric
277,forearm_magnitude_wavelet_entropy_level_3_x,predictor,numeric
278,forearm_magnitude_wavelet_energy_level_4_x,predictor,numeric
279,forearm_magnitude_wavelet_entropy_level_4_x,predictor,numeric
280,forearm_magnitude_wavelet_energy_level_5_x,predictor,numeric
281,forearm_magnitude_wavelet_entropy_level_5_x,predictor,numeric
282,respiration_rate_x,predictor,numeric
283,respiration_rate_variability_x,predictor,numeric
284,average_peak_interval,predictor,numeric
285,rms_respiration_x,predictor,numeric
286,total_power_x,predictor,numeric
287,total_wavelet_energy_x,predictor,numeric
288,signal_entropy_x,predictor,numeric
289,spectral_entropy_x,predictor,numeric
290,spectral_centroid_x,predictor,numeric
291,peak_frequency_x,predictor,numeric
292,respiration_rate_y,predictor,numeric
293,respiration_rate_variability_y,predictor,numeric
294,inhalation_duration,predictor,numeric
295,exhalation_duration,predictor,numeric
296,average_tidal_volume,predictor,numeric
297,minute_ventilation,predictor,numeric
298,duty_cycle,predictor,numeric
299,peak_amplitude,predictor,numeric
300,rms_respiration_y,predictor,numeric
301,total_power_y,predictor,numeric
302,total_wavelet_energy_y,predictor,numeric
303,signal_entropy_y,predictor,numeric
304,spectral_entropy_y,predictor,numeric
305,spectral_centroid_y,predictor,numeric
306,peak_frequency_y,predictor,numeric
307,rmssd,predictor,numeric
308,iqr_bbi,predictor,numeric
309,resp_skewness,predictor,numeric
310,resp_kurtosis,predictor,numeric
311,accelerometry_torso_x_mps2_mean,predictor,numeric
312,accelerometry_torso_x_mps2_median,predictor,numeric
313,accelerometry_torso_x_mps2_std,predictor,numeric
314,accelerometry_torso_x_mps2_max,predictor,numeric
315,accelerometry_torso_x_mps2_min,predictor,numeric
316,accelerometry_torso_x_mps2_range,predictor,numeric
317,accelerometry_torso_x_mps2_skewness,predictor,numeric
318,accelerometry_torso_x_mps2_kurtosis,predictor,numeric
319,accelerometry_torso_x_mps2_rms,predictor,numeric
320,accelerometry_torso_x_mps2_sma,predictor,numeric
321,accelerometry_torso_x_mps2_spectral_entropy,predictor,numeric
322,accelerometry_torso_x_mps2_spectral_flux,predictor,numeric
323,accelerometry_torso_x_mps2_spectral_centroid,predictor,numeric
324,accelerometry_torso_x_mps2_low_freq_energy,predictor,numeric
325,accelerometry_torso_x_mps2_mid_freq_energy,predictor,numeric
326,accelerometry_torso_x_mps2_high_freq_energy,predictor,numeric
327,accelerometry_torso_x_mps2_wavelet_energy_level_1,predictor,numeric
328,accelerometry_torso_x_mps2_wavelet_entropy_level_1,predictor,numeric
329,accelerometry_torso_x_mps2_wavelet_energy_level_2,predictor,numeric
330,accelerometry_torso_x_mps2_wavelet_entropy_level_2,predictor,numeric
331,accelerometry_torso_x_mps2_wavelet_energy_level_3,predictor,numeric
332,accelerometry_torso_x_mps2_wavelet_entropy_level_3,predictor,numeric
333,accelerometry_torso_x_mps2_wavelet_energy_level_4,predictor,numeric
334,accelerometry_torso_x_mps2_wavelet_entropy_level_4,predictor,numeric
335,accelerometry_torso_x_mps2_wavelet_energy_level_5,predictor,numeric
336,accelerometry_torso_x_mps2_wavelet_entropy_level_5,predictor,numeric
337,accelerometry_torso_y_mps2_mean,predictor,numeric
338,accelerometry_torso_y_mps2_median,predictor,numeric
339,accelerometry_torso_y_mps2_std,predictor,numeric
340,accelerometry_torso_y_mps2_max,predictor,numeric
341,accelerometry_torso_y_mps2_min,predictor,numeric
342,accelerometry_torso_y_mps2_range,predictor,numeric
343,accelerometry_torso_y_mps2_skewness,predictor,numeric
344,accelerometry_torso_y_mps2_kurtosis,predictor,numeric
345,accelerometry_torso_y_mps2_rms,predictor,numeric
346,accelerometry_torso_y_mps2_sma,predictor,numeric
347,accelerometry_torso_y_mps2_spectral_entropy,predictor,numeric
348,accelerometry_torso_y_mps2_spectral_flux,predictor,numeric
349,accelerometry_torso_y_mps2_spectral_centroid,predictor,numeric
350,accelerometry_torso_y_mps2_low_freq_energy,predictor,numeric
351,accelerometry_torso_y_mps2_mid_freq_energy,predictor,numeric
352,accelerometry_torso_y_mps2_high_freq_energy,predictor,numeric
353,accelerometry_torso_y_mps2_wavelet_energy_level_1,predictor,numeric
354,accelerometry_torso_y_mps2_wavelet_entropy_level_1,predictor,numeric
355,accelerometry_torso_y_mps2_wavelet_energy_level_2,predictor,numeric
356,accelerometry_torso_y_mps2_wavelet_entropy_level_2,predictor,numeric
357,accelerometry_torso_y_mps2_wavelet_energy_level_3,predictor,numeric
358,accelerometry_torso_y_mps2_wavelet_entropy_level_3,predictor,numeric
359,accelerometry_torso_y_mps2_wavelet_energy_level_4,predictor,numeric
360,accelerometry_torso_y_mps2_wavelet_entropy_level_4,predictor,numeric
361,accelerometry_torso_y_mps2_wavelet_energy_level_5,predictor,numeric
362,accelerometry_torso_y_mps2_wavelet_entropy_level_5,predictor,numeric
363,accelerometry_torso_z_mps2_mean,predictor,numeric
364,accelerometry_torso_z_mps2_median,predictor,numeric
365,accelerometry_torso_z_mps2_std,predictor,numeric
366,accelerometry_torso_z_mps2_max,predictor,numeric
367,accelerometry_torso_z_mps2_min,predictor,numeric
368,accelerometry_torso_z_mps2_range,predictor,numeric
369,accelerometry_torso_z_mps2_skewness,predictor,numeric
370,accelerometry_torso_z_mps2_kurtosis,predictor,numeric
371,accelerometry_torso_z_mps2_rms,predictor,numeric
372,accelerometry_torso_z_mps2_sma,predictor,numeric
373,accelerometry_torso_z_mps2_spectral_entropy,predictor,numeric
374,accelerometry_torso_z_mps2_spectral_flux,predictor,numeric
375,accelerometry_torso_z_mps2_spectral_centroid,predictor,numeric
376,accelerometry_torso_z_mps2_low_freq_energy,predictor,numeric
377,accelerometry_torso_z_mps2_mid_freq_energy,predictor,numeric
378,accelerometry_torso_z_mps2_high_freq_energy,predictor,numeric
379,accelerometry_torso_z_mps2_wavelet_energy_level_1,predictor,numeric
380,accelerometry_torso_z_mps2_wavelet_entropy_level_1,predictor,numeric
381,accelerometry_torso_z_mps2_wavelet_energy_level_2,predictor,numeric
382,accelerometry_torso_z_mps2_wavelet_entropy_level_2,predictor,numeric
383,accelerometry_torso_z_mps2_wavelet_energy_level_3,predictor,numeric
384,accelerometry_torso_z_mps2_wavelet_entropy_level_3,predictor,numeric
385,accelerometry_torso_z_mps2_wavelet_energy_level_4,predictor,numeric
386,accelerometry_torso_z_mps2_wavelet_entropy_level_4,predictor,numeric
387,accelerometry_torso_z_mps2_wavelet_energy_level_5,predictor,numeric
388,accelerometry_torso_z_mps2_wavelet_entropy_level_5,predictor,numeric
389,torso_magnitude_mean_y,predictor,numeric
390,torso_magnitude_std_y,predictor,numeric
391,torso_magnitude_max_y,predictor,numeric
392,torso_magnitude_min_y,predictor,numeric
393,torso_magnitude_range_y,predictor,numeric
394,torso_magnitude_skewness_y,predictor,numeric
395,torso_magnitude_kurtosis_y,predictor,numeric
396,torso_magnitude_rms_y,predictor,numeric
397,torso_magnitude_sma_y,predictor,numeric
398,torso_magnitude_spectral_entropy_y,predictor,numeric
399,torso_magnitude_spectral_flux_y,predictor,numeric
400,torso_magnitude_spectral_centroid_y,predictor,numeric
401,torso_magnitude_low_freq_energy_y,predictor,numeric
402,torso_magnitude_mid_freq_energy_y,predictor,numeric
403,torso_magnitude_high_freq_energy_y,predictor,numeric
404,torso_magnitude_wavelet_energy_level_1_y,predictor,numeric
405,torso_magnitude_wavelet_entropy_level_1_y,predictor,numeric
406,torso_magnitude_wavelet_energy_level_2_y,predictor,numeric
407,torso_magnitude_wavelet_entropy_level_2_y,predictor,numeric
408,torso_magnitude_wavelet_energy_level_3_y,predictor,numeric
409,torso_magnitude_wavelet_entropy_level_3_y,predictor,numeric
410,torso_magnitude_wavelet_energy_level_4_y,predictor,numeric
411,torso_magnitude_wavelet_entropy_level_4_y,predictor,numeric
412,torso_magnitude_wavelet_energy_level_5_y,predictor,numeric
413,torso_magnitude_wavelet_entropy_level_5_y,predictor,numeric
414,ang_vel_mean,predictor,numeric
415,ang_vel_std,predictor,numeric
416,ang_vel_max,predictor,numeric
417,ang_acc_mean,predictor,numeric
418,ang_acc_std,predictor,numeric
419,ang_jerk_mean,predictor,numeric
420,motion_smoothness,predictor,numeric
421,angular_speed_mean,predictor,numeric
422,angular_speed_std,predictor,numeric
423,fixation_duration_total,predictor,numeric
424,fixation_mean,predictor,numeric
425,fixation_std,predictor,numeric
426,scan_frequency,predictor,numeric
427,scan_amplitude,predictor,numeric
428,scan_entropy,predictor,numeric
429,dwell_cluster_variance,predictor,numeric
430,yaw_skewness,predictor,numeric
431,yaw_kurtosis,predictor,numeric
432,pitch_variance,predictor,numeric
433,roll_variance,predictor,numeric
434,head_stability_index,predictor,numeric
435,dominant_frequency,predictor,numeric
436,spectral_entropy,predictor,numeric
437,spectral_centroid,predictor,numeric
438,spectral_spread,predictor,numeric
439,band_power_low,predictor,numeric
440,band_power_mid,predictor,numeric
441,band_power_high,predictor,numeric
442,trajectory_speed_mean,predictor,numeric
443,trajectory_speed_std,predictor,numeric
444,trajectory_curvature_mean,predictor,numeric
445,trajectory_tortuosity,predictor,numeric
446,head_displacement_magnitude,predictor,numeric
447,vertical_scan_amplitude,predictor,numeric
448,lateral_scan_amplitude,predictor,numeric
449,forward_scan_amplitude,predictor,numeric
450,scanpath_entropy,predictor,numeric
